word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
a t i n m a n	82908	589374	7
a t i n m a ɲ ʧ u	136133	1668424	9
a t i ŋ k i ʧ i s	148752	1677888	9
a t i ŋ k i ʧ i s ʧ u	195816	3703914	11
a t i ŋ k i ʧ u s	157632	1784738	9
a t i ŋ k u	79073	408584	6
a t i ŋ k u ʧ u	147745	1335538	8
a t i ŋ k u m a n	119562	1473548	9
a t i ŋ k u m a ɲ ʧ u	172787	3281088	11
a t i p a k u n a m a n	164403	3641090	12
a t i p a n	65748	336030	6
a t i p a n a k u m a n	155989	3641090	12
a t i p a n a k u s	139860	2110202	10
a t i p a n a r p a k u n a	230661	7007222	14
a t i p a n a j a ʃ a n	122772	2882811	12
a t i p a n m a n	99606	1290374	9
a t i p a r i ʃ a ŋ k u	174863	4108862	12
a t i p a r p a n	128928	1627999	9
a t i p a r p a r i s q a	205104	5327112	13
a t i p a s a ŋ k u ɲ a	164730	3409918	12
a t i p a s a x r i	108786	1824049	10
a t i p a s q a	83136	730736	8
a t i p a s q a n	97986	1247285	9
a t i p a s q a n t a	141942	2601568	11
a t i p a s q a j k i	117696	2312517	11
a t i p a w a ɲ ʧ a r i	189606	4527634	12
a t i p a w a ɲ ʧ u	152813	2407930	10
a t i p a w a ŋ k i	127530	2032493	10
a t i p a x k u n a	136946	1935566	10
a t i p a x k u n a m a n	165674	4374997	13
a t i p a x t a x	92226	1054124	9
a t i p a j k i m a n	120642	2381112	11
a t i r a s a k u n	169485	2576158	10
a t i r i k u s q a	196584	2531898	10
a t i r i n a	131760	760617	7
a t i r p a n	120528	785535	7
a t i r p a r i n	181224	2176236	9
a t i s a ɲ ʧ u	114965	1100578	8
a t i s a ŋ k u ʧ u	164107	2417512	10
a t i s a ŋ k u r a x ʧ u	207933	5630756	13
a t i ʃ a j k u n	118545	1472578	9
a t i s p a	63504	282660	6
a t i s p a q a	83304	730736	8
a t i s p a r i	104004	1054278	8
a t i s q a ʧ u	98460	1011808	8
a t i s q a n ɲ a ʧ u	154134	3087862	11
a t i s q a n t a	121302	1432096	9
a t i s q a ŋ k u	110681	1425578	9
a t i s u ɲ ʧ i s	157679	1725538	9
a t i s u ɲ ʧ i x	151463	1572994	9
a t i s u ɲ ʧ u	142102	1287490	8
a t i s u n m a n	117723	1457834	9
a t i s u n m a ɲ ʧ u	170948	3252143	11
a t i w a ŋ k i ʧ u	169050	2602634	10
a t i w a s u n m a n	155307	2924366	11
a t i j k i ʧ u	119040	1159758	8
a t i j k u ʧ u	134030	1242698	8
a t i j k u m a n	105847	1375398	9
a t i j k u m a ɲ ʧ u	159072	3109743	11
a t i j k u s q a	117918	1329978	9
a t i j m a n	57618	453189	7
a t i j n i n t a q a	162648	2799682	11
a t i j n i j u x	96138	1157776	9
a t i j p a j t a	84024	1087076	9
a t u r a s p i	136737	1131763	8
a t u x	37555	57751	4
a t u x k u n a	122786	1063940	8
a t u x ʎ a	65520	316898	6
