word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
x e χ	34749	34749	3
p a ɢ tʰ	47190	90614	4
m i r g ə ʧ ɮʲ i ŋ	265520	2777180	9
t a i n	63162	118404	4
ʊʊ r χ a i ŋ	118296	567998	6
tʰ ʊ s ɢ a r	112134	630560	6
p u g t	57942	105000	4
ʃ i n ʧ	57024	118404	4
a mʲ t r ə ɮ ə ŋ	228113	1875635	8
tʰ i r g u ŋ	137788	624796	6
χ a ɢ ə s	82810	277210	5
a s ʊ t ɮ ə g	181239	1219909	7
ʦ a m ə ŋ	77275	257839	5
x oo r x ə ŋ	172161	759766	6
g u ŋ	23606	23606	3
i t g e r	106575	382670	5
ʊ ɮ m a s	84975	305642	5
ʦ aa w ə ɮ	93002	348746	5
j aa χ ə w	83862	277480	5
ʃ a ʃ ə n	100533	319066	5
tʰ a ɮ p a i	120285	638062	6
p ɔ t ɔ t	120745	360722	5
ʊ s n	25839	25839	3
ʦ a ŋ	23232	23232	3
tʰ ɔ ɢ ɮ ə ʧ	154325	800048	6
ii ŋ	0	0	2
i r g ə ŋ	98716	307804	5
ɔ r ɔ i	112258	217792	4
uu nʲ i	34452	34452	3
ʦ u i ɮʲ i ŋ	163548	705156	6
u j ə t e	120213	418036	5
t o r w ə ŋ	147445	677148	6
n a s ə n	90219	283134	5
a r w ə ŋ	88504	289309	5
ɔ r ʊ ɮ s ə ŋ	193954	1320158	7
m i t e ɮ ɮʲ i g	258666	2085412	8
a m ə ŋ	50875	95887	4
o ɴ ɢ	24596	24596	3
χ a i r tʰ a i	182688	1205184	7
p a rʲ ə ɮ ɢ ə ŋ	229661	1798824	8
i ŋ gʲ i ŋ	54450	191785	5
p a i ɴ ɢ	67881	201091	5
i r xʲ i g	101970	338232	5
tʰ a ɮ t	76923	146363	4
x i r ə w	121064	361832	5
uu nʲ i g	62205	126933	4
ʦ a rʲ ə m	131282	372048	5
x u ʧʰ nʲ i	107283	357786	5
x u r ʧʰ	90354	170940	4
ʦ a χ ə r ɢ a n	188948	1737474	8
j a m ə r	89500	335032	5
gʲ i r m ə n	120250	566824	6
u ʦ s ə ŋ	92278	302023	5
