word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
ee d ee nj i zj I t	933455	9417530	8
ee d ee nj i lj E n	891779	8514692	8
ee d ee p t A ts i j i	949013	15204075	10
ee d ee p tj I v n i j	955280	16088912	10
ee d ee r A ts i j i	1110671	13099803	9
ee d rj i n ee lj I n	1315887	15059748	9
ee d rj i n ee lj I n ee v i j	1738387	47062468	13
A d rj i s	733480	2100100	5
A d rj i s	733480	2100100	5
ee d rj i s A n t	1104240	10153180	8
ee d rj i s A t	1046100	6892885	7
A d rj i s k ee lj i n d A rj	1846633	55107241	13
A d rj i s n i j	1058155	9626818	8
ee d rj i s ee v A tj sj i	1626049	29407229	11
ee d rj i s O k	998976	5610258	7
ee d rj i s O chj i k	1184400	12017814	9
ee t s kj i	384582	1056527	5
A t s kj i j	405363	2155825	6
ee t s ee r bj E n t	1241907	14475050	9
ee t s O r bj i r	1074636	11028878	8
ee t s ee r p ts i O n n i j	1467045	37971304	13
